Date,Time,No.,PAR,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Fm'1,Fm'2,Fm'3,Fm'4,Fm'5,Fm'6,Fm'7,Fm'8,Fm'9,Fm'10,Fm'11,Fm'12,Fm'13,Y(II)1,Y(II)2,Y(II)3,Y(II)4,Y(II)5,Y(II)6,Y(II)7,Y(II)8,Y(II)9,Y(II)10,Y(II)11,Y(II)12,Y(II)13
04.04.23,18:58:07,1,0,0.0039,0.0679,0.0596,0.0728,0.042,0.0347,0.0591,0.043,0.043,0.0503,0.0464,0.0259,0.0499,0.0068,0.151,0.1393,0.1755,0.0973,0.0811,0.1432,0.0992,0.0968,0.1193,0.1134,0.0572,0.1207,0,0.55,0.572,0.585,0.568,0.572,0.587,0.567,0.556,0.578,0.591,0.547,0.587
04.04.23,19:05:13,2,0,0.0049,0.0611,0.0704,0.0587,0.0049,0.0034,0.0205,0.0039,0.0034,0.0464,0.0137,0.0503,0.0455,0.0078,0.1256,0.1549,0.1261,0.0068,0.0054,0.0381,0.0073,0.0064,0.089,0.0347,0.13,0.1109,0,0.514,0.546,0.535,0,0,0.462,0,0,0.478,0.606,0.613,0.59
